Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
Article,Antiferromagnetic phase transition in a 3D fermionic Hubbard model,"Antiferromagnetic phase transition is observed in a three-dimensional fermionic Hubbard system comprising lithium-6 atoms in a uniform optical lattice with approximately 800,000 sites.","Hou-Ji Shao, Yu-Xuan Wang, Jian-Wei Pan",10-Jul-24,antiferromagnetic phase transition in a 3d fermionic hubbard model,"['antiferromagnetic', 'phase', 'transition', 'in', 'a', '3d', 'fermionic', 'hubbard', 'model']","['antiferromagnetic', 'phase', 'transition', '3d', 'fermionic', 'hubbard', 'model']","['antiferromagnet', 'phase', 'transit', '3d', 'fermion', 'hubbard', 'model']","['antiferromagnetic', 'phase', 'transition', '3d', 'fermionic', 'hubbard', 'model']"
Article,Phage anti-CRISPR control by an RNA- and DNA-binding helix–turn–helix protein,"The helix–turn–helix domain of an anti-CRISPR-associated (Aca) protein represses transcription of anti-CRISPR (Acr)-encoding genes and inhibits their translation to protein via distinct binding modes to DNA and RNA, respectively.","Nils Birkholz, Kotaro Kamata, Peter C. Fineran",10-Jul-24,phage anticrispr control by an rna and dnabinding helixturnhelix protein,"['phage', 'anticrispr', 'control', 'by', 'an', 'rna', 'and', 'dnabinding', 'helixturnhelix', 'protein']","['phage', 'anticrispr', 'control', 'rna', 'dnabinding', 'helixturnhelix', 'protein']","['phage', 'anticrispr', 'control', 'rna', 'dnabind', 'helixturnhelix', 'protein']","['phage', 'anticrispr', 'control', 'rna', 'dnabinding', 'helixturnhelix', 'protein']"
Article,Airborne DNA reveals predictable spatial and seasonal dynamics of fungi,"Using a globally distributed standardized aerial sampling of fungal spores, we show that the hyperdiverse kingdom of fungi follows globally highly predictable spatial and temporal dynamics, with seasonality in both species richness and community composition increasing with latitude.","Nerea Abrego, Brendan Furneaux, Otso Ovaskainen",10-Jul-24,airborne dna reveals predictable spatial and seasonal dynamics of fungi,"['airborne', 'dna', 'reveals', 'predictable', 'spatial', 'and', 'seasonal', 'dynamics', 'of', 'fungi']","['airborne', 'dna', 'reveals', 'predictable', 'spatial', 'seasonal', 'dynamics', 'fungi']","['airborn', 'dna', 'reveal', 'predict', 'spatial', 'season', 'dynam', 'fungi']","['airborne', 'dna', 'reveals', 'predictable', 'spatial', 'seasonal', 'dynamic', 'fungi']"
Article,"Single-cell atlas of the human brain vasculature across development, adulthood and disease","Endothelial cells from vascular-dependent central nervous system (CNS) diseases reveal reactivated fetal pathways, display common hallmarks of disease — including a partial loss of arteriovenous specification and CNS-specific properties as well as an upregulation of MHC class II receptors — and play a key role in the human brain neurovascular unit across development, adulthood and disease.","Thomas Wälchli, Moheb Ghobrial, Ivan Radovanovic",10-Jul-24,singlecell atlas of the human brain vasculature across development adulthood and disease,"['singlecell', 'atlas', 'of', 'the', 'human', 'brain', 'vasculature', 'across', 'development', 'adulthood', 'and', 'disease']","['singlecell', 'atlas', 'human', 'brain', 'vasculature', 'across', 'development', 'adulthood', 'disease']","['singlecel', 'atla', 'human', 'brain', 'vasculatur', 'across', 'develop', 'adulthood', 'diseas']","['singlecell', 'atlas', 'human', 'brain', 'vasculature', 'across', 'development', 'adulthood', 'disease']"
Article,Repeated plague infections across six generations of Neolithic Farmers,"Population-scale ancient genomics are used to infer ancestry, social structure and pathogen infection in 108 Scandinavian Neolithic individuals from eight megalithic graves and a stone cist, showing that Neolithic plague was widespread.","Frederik Valeur Seersholm, Karl-Göran Sjögren, Martin Sikora",10-Jul-24,repeated plague infections across six generations of neolithic farmers,"['repeated', 'plague', 'infections', 'across', 'six', 'generations', 'of', 'neolithic', 'farmers']","['repeated', 'plague', 'infections', 'across', 'six', 'generations', 'neolithic', 'farmers']","['repeat', 'plagu', 'infect', 'across', 'six', 'gener', 'neolith', 'farmer']","['repeated', 'plague', 'infection', 'across', 'six', 'generation', 'neolithic', 'farmer']"
Article,Glutamate acts on acid-sensing ion channels to worsen ischaemic brain injury,Glutamate functions as a positive allosteric modulator for acid-sensing ion channels to exacerbate ischaemic neurotoxicity.,"Ke Lai, Iva Pritišanac, Shan-Kai Yin",10-Jul-24,glutamate acts on acidsensing ion channels to worsen ischaemic brain injury,"['glutamate', 'acts', 'on', 'acidsensing', 'ion', 'channels', 'to', 'worsen', 'ischaemic', 'brain', 'injury']","['glutamate', 'acts', 'acidsensing', 'ion', 'channels', 'worsen', 'ischaemic', 'brain', 'injury']","['glutam', 'act', 'acidsens', 'ion', 'channel', 'worsen', 'ischaem', 'brain', 'injuri']","['glutamate', 'act', 'acidsensing', 'ion', 'channel', 'worsen', 'ischaemic', 'brain', 'injury']"
Article,Magnetic field expulsion in optically driven YBa2Cu3O6.48,A time-dependent magnetic field expulsion was measured in optically driven YBa2Cu3O6.48above the equilibrium superconducting transition temperature and all the way to room temperature.,"S. Fava, G. De Vecchi, A. Cavalleri",10-Jul-24,magnetic field expulsion in optically driven yba2cu3o648,"['magnetic', 'field', 'expulsion', 'in', 'optically', 'driven', 'yba2cu3o648']","['magnetic', 'field', 'expulsion', 'optically', 'driven', 'yba2cu3o648']","['magnet', 'field', 'expuls', 'optic', 'driven', 'yba2cu3o648']","['magnetic', 'field', 'expulsion', 'optically', 'driven', 'yba2cu3o648']"
Article,Emergence of large-scale cell death through ferroptotic trigger waves,Ferroptosis can propagate across human cells over long distances (≥5 mm) at constant speeds (around 5.5 μm per minute) through self-regenerating waves of reactive oxygen species; such waves facilitate large-scale cell death in the developing avian limb.,"Hannah K. C. Co, Chia-Chou Wu, Sheng-hong Chen",10-Jul-24,emergence of largescale cell death through ferroptotic trigger waves,"['emergence', 'of', 'largescale', 'cell', 'death', 'through', 'ferroptotic', 'trigger', 'waves']","['emergence', 'largescale', 'cell', 'death', 'ferroptotic', 'trigger', 'waves']","['emerg', 'largescal', 'cell', 'death', 'ferroptot', 'trigger', 'wave']","['emergence', 'largescale', 'cell', 'death', 'ferroptotic', 'trigger', 'wave']"
News & Views,Waves of ferroptotic cell death sculpt embryonic tissue,An unusual form of cell death called ferroptosis can sweep over embryonic tissues in a wave-like manner to ensure proper muscle development — evidence that ferroptosis has a role in normal physiology.,"Judith  Goncalves, Scott J.  Dixon",10-Jul-24,waves of ferroptotic cell death sculpt embryonic tissue,"['waves', 'of', 'ferroptotic', 'cell', 'death', 'sculpt', 'embryonic', 'tissue']","['waves', 'ferroptotic', 'cell', 'death', 'sculpt', 'embryonic', 'tissue']","['wave', 'ferroptot', 'cell', 'death', 'sculpt', 'embryon', 'tissu']","['wave', 'ferroptotic', 'cell', 'death', 'sculpt', 'embryonic', 'tissue']"
Futures,Some photos you might like,"A life, tagged.",Bob McHugh,10-Jul-24,some photos you might like,"['some', 'photos', 'you', 'might', 'like']","['photos', 'might', 'like']","['photo', 'might', 'like']","['photo', 'might', 'like']"
Research Briefing,Multiple plague outbreaks in a Neolithic family give clues to prehistoric population dip,A reconstruction of the occurrence of plague in a large family tree from Neolithic Sweden indicates that 12 of 38 family members were infected in three separate waves — a potential explanation for a mysterious collapse in northern Europe’s population five millennia ago.,"N, /, A",10-Jul-24,multiple plague outbreaks in a neolithic family give clues to prehistoric population dip,"['multiple', 'plague', 'outbreaks', 'in', 'a', 'neolithic', 'family', 'give', 'clues', 'to', 'prehistoric', 'population', 'dip']","['multiple', 'plague', 'outbreaks', 'neolithic', 'family', 'give', 'clues', 'prehistoric', 'population', 'dip']","['multipl', 'plagu', 'outbreak', 'neolith', 'famili', 'give', 'clue', 'prehistor', 'popul', 'dip']","['multiple', 'plague', 'outbreak', 'neolithic', 'family', 'give', 'clue', 'prehistoric', 'population', 'dip']"
Nature Briefing,Daily briefing: Older people’s existing immunity could shape an H5N1 pandemic,"Older people might be more protected from bird flu because they were exposed to ‘matched’ flu strains during childhood. Plus, scientists are hopeful about Iran’s new heart-surgeon president and inside a radio observatory in Ukraine gravely damaged by the Russian invasion.",Flora Graham,10-Jul-24,daily briefing older peoples existing immunity could shape an h5n1 pandemic,"['daily', 'briefing', 'older', 'peoples', 'existing', 'immunity', 'could', 'shape', 'an', 'h5n1', 'pandemic']","['daily', 'briefing', 'older', 'peoples', 'existing', 'immunity', 'could', 'shape', 'h5n1', 'pandemic']","['daili', 'brief', 'older', 'peopl', 'exist', 'immun', 'could', 'shape', 'h5n1', 'pandem']","['daily', 'briefing', 'older', 'people', 'existing', 'immunity', 'could', 'shape', 'h5n1', 'pandemic']"
News & Views,Speedy stars blow the cover of hidden black hole,Fast-moving stars have been discovered in the middle of the nearby star cluster ω Centauri using two decades of Hubble Space Telescope imaging. The stars offer evidence of a long-sought intermediate-mass black hole.,"Daryl  Haggard, Adrienne  Cool",10-Jul-24,speedy stars blow the cover of hidden black hole,"['speedy', 'stars', 'blow', 'the', 'cover', 'of', 'hidden', 'black', 'hole']","['speedy', 'stars', 'blow', 'cover', 'hidden', 'black', 'hole']","['speedi', 'star', 'blow', 'cover', 'hidden', 'black', 'hole']","['speedy', 'star', 'blow', 'cover', 'hidden', 'black', 'hole']"
Nature Podcast,Breastfeeding should break down mothers’ bones — here’s why it doesn’t,"A hormone discovered in mice could help keep bones healthy during lactation, and a new way to edit genes in the gut microbiome.","Benjamin Thompson, Nick Petrić Howe",10-Jul-24,breastfeeding should break down mothers bones  here is why it does not,"['breastfeeding', 'should', 'break', 'down', 'mothers', 'bones', 'here', 'is', 'why', 'it', 'does', 'not']","['breastfeeding', 'break', 'mothers', 'bones']","['breastfeed', 'break', 'mother', 'bone']","['breastfeeding', 'break', 'mother', 'bone']"
News,Stars hint at an unusual black hole lurking in our Galaxy,Images taken by the Hubble Space Telescope point to an elusive intermediate-size black hole in the star cluster ω Centauri.,Davide Castelvecchi,10-Jul-24,stars hint at an unusual black hole lurking in our galaxy,"['stars', 'hint', 'at', 'an', 'unusual', 'black', 'hole', 'lurking', 'in', 'our', 'galaxy']","['stars', 'hint', 'unusual', 'black', 'hole', 'lurking', 'galaxy']","['star', 'hint', 'unusu', 'black', 'hole', 'lurk', 'galaxi']","['star', 'hint', 'unusual', 'black', 'hole', 'lurking', 'galaxy']"
News & Views,Alzheimer’s plaques and tangles revealed by 3D microscopy,"Amyloid-β peptides and tau proteins form filaments in the brain in Alzheimer’s disease. Using an electron microscopy approach to visualize thin slices of brain tissue in 3D, these filaments can be seen in their native environment.",Sjors H. W. Scheres,10-Jul-24,alzheimers plaques and tangles revealed by 3d microscopy,"['alzheimers', 'plaques', 'and', 'tangles', 'revealed', 'by', '3d', 'microscopy']","['alzheimers', 'plaques', 'tangles', 'revealed', '3d', 'microscopy']","['alzheim', 'plaqu', 'tangl', 'reveal', '3d', 'microscopi']","['alzheimers', 'plaque', 'tangle', 'revealed', '3d', 'microscopy']"
News,How anti-obesity drugs cause nausea: finding offers hope for better drugs,The neurons that produce a sick feeling and food aversion are distinct from those that induce a feeling of fullness.,Mariana Lenharo,10-Jul-24,how antiobesity drugs because nausea finding offers hope for better drugs,"['how', 'antiobesity', 'drugs', 'because', 'nausea', 'finding', 'offers', 'hope', 'for', 'better', 'drugs']","['antiobesity', 'drugs', 'nausea', 'finding', 'offers', 'hope', 'better', 'drugs']","['antiobes', 'drug', 'nausea', 'find', 'offer', 'hope', 'better', 'drug']","['antiobesity', 'drug', 'nausea', 'finding', 'offer', 'hope', 'better', 'drug']"
News,This lab-grown meat probably tastes like real beef,Cultured meat that tastes and smells more appetizing could enhance public perception of artificial steaks.,Helena Kudiabor,10-Jul-24,this labgrown meat probably tastes like real beef,"['this', 'labgrown', 'meat', 'probably', 'tastes', 'like', 'real', 'beef']","['labgrown', 'meat', 'probably', 'tastes', 'like', 'real', 'beef']","['labgrown', 'meat', 'probabl', 'tast', 'like', 'real', 'beef']","['labgrown', 'meat', 'probably', 'taste', 'like', 'real', 'beef']"
News,Serious errors plague DNA tool that’s a workhorse of biology,"Researchers analysed thousands of laboratory-made plasmids and discovered that nearly half of them had defects, raising questions of experimental reproducibility.",Katherine Bourzac,10-Jul-24,serious errors plague dna tool that is a workhorse of biology,"['serious', 'errors', 'plague', 'dna', 'tool', 'that', 'is', 'a', 'workhorse', 'of', 'biology']","['serious', 'errors', 'plague', 'dna', 'tool', 'workhorse', 'biology']","['seriou', 'error', 'plagu', 'dna', 'tool', 'workhors', 'biolog']","['serious', 'error', 'plague', 'dna', 'tool', 'workhorse', 'biology']"
Obituary,Edward C. Stone obituary: physicist who guided Voyager probes to interstellar space,"Space scientist who took humanity on a tour of the Solar System and beyond, in a journey of discovery like no other.",Alan C.   Cummings,10-Jul-24,edward c stone obituary physicist who guided voyager probes to interstellar space,"['edward', 'c', 'stone', 'obituary', 'physicist', 'who', 'guided', 'voyager', 'probes', 'to', 'interstellar', 'space']","['edward', 'c', 'stone', 'obituary', 'physicist', 'guided', 'voyager', 'probes', 'interstellar', 'space']","['edward', 'c', 'stone', 'obituari', 'physicist', 'guid', 'voyag', 'probe', 'interstellar', 'space']","['edward', 'c', 'stone', 'obituary', 'physicist', 'guided', 'voyager', 'probe', 'interstellar', 'space']"
Publisher Correction,Publisher Correction: Titanium:sapphire-on-insulator integrated lasers and amplifiers,,"Joshua Yang, Kasper Van Gasse, Jelena Vučković",09-Jul-24,publisher correction titaniumsapphireoninsulator integrated lasers and amplifiers,"['publisher', 'correction', 'titaniumsapphireoninsulator', 'integrated', 'lasers', 'and', 'amplifiers']","['publisher', 'correction', 'titaniumsapphireoninsulator', 'integrated', 'lasers', 'amplifiers']","['publish', 'correct', 'titaniumsapphireoninsul', 'integr', 'laser', 'amplifi']","['publisher', 'correction', 'titaniumsapphireoninsulator', 'integrated', 'laser', 'amplifier']"
Author Correction,Author Correction: Obesity induces PD-1 on macrophages to suppress anti-tumour immunity,,"Jackie E. Bader, Melissa M. Wolf, Jeffrey C. Rathmell",09-Jul-24,author correction obesity induces pd1 on macrophages to suppress antitumour immunity,"['author', 'correction', 'obesity', 'induces', 'pd1', 'on', 'macrophages', 'to', 'suppress', 'antitumour', 'immunity']","['author', 'correction', 'obesity', 'induces', 'pd1', 'macrophages', 'suppress', 'antitumour', 'immunity']","['author', 'correct', 'obes', 'induc', 'pd1', 'macrophag', 'suppress', 'antitumour', 'immun']","['author', 'correction', 'obesity', 'induces', 'pd1', 'macrophage', 'suppress', 'antitumour', 'immunity']"
News & Views,How mud brought France and England together — 150 years ago,"Artificial daylight lacks commercial interest, and a geologist’s thirst for knowledge kickstarts the bid for the Channel Tunnel, in our weekly dip intoNature’s archive.","N, /, A",09-Jul-24,how mud brought france and england together  150 years ago,"['how', 'mud', 'brought', 'france', 'and', 'england', 'together', '150', 'years', 'ago']","['mud', 'brought', 'france', 'england', 'together', '150', 'years', 'ago']","['mud', 'brought', 'franc', 'england', 'togeth', '150', 'year', 'ago']","['mud', 'brought', 'france', 'england', 'together', '150', 'year', 'ago']"
Correspondence,"To explain biological sex, look to evolution",,"Paul E.  Griffiths, Hamish G.  Spencer",09-Jul-24,to explain biological sex look to evolution,"['to', 'explain', 'biological', 'sex', 'look', 'to', 'evolution']","['explain', 'biological', 'sex', 'look', 'evolution']","['explain', 'biolog', 'sex', 'look', 'evolut']","['explain', 'biological', 'sex', 'look', 'evolution']"
Correspondence,Regulate to protect fragile Antarctic ecosystems from growing tourism,,"Yi  Luo, Huan  Zhong, Christian  Sonne",09-Jul-24,regulate to protect fragile antarctic ecosystems from growing tourism,"['regulate', 'to', 'protect', 'fragile', 'antarctic', 'ecosystems', 'from', 'growing', 'tourism']","['regulate', 'protect', 'fragile', 'antarctic', 'ecosystems', 'growing', 'tourism']","['regul', 'protect', 'fragil', 'antarct', 'ecosystem', 'grow', 'tourism']","['regulate', 'protect', 'fragile', 'antarctic', 'ecosystem', 'growing', 'tourism']"
Research Highlight,Storm-chasing seabirds served supper by cyclones,The ocean-going Desertas petrel often follows storms for days over thousands of kilometres.,"N, /, A",09-Jul-24,stormchasing seabirds served supper by cyclones,"['stormchasing', 'seabirds', 'served', 'supper', 'by', 'cyclones']","['stormchasing', 'seabirds', 'served', 'supper', 'cyclones']","['stormchas', 'seabird', 'serv', 'supper', 'cyclon']","['stormchasing', 'seabird', 'served', 'supper', 'cyclone']"
Correspondence,More studies needed on how climate change affects exercise health benefits,,Zhenxiang  Guo,09-Jul-24,more studies needed on how climate change affects exercise health benefits,"['more', 'studies', 'needed', 'on', 'how', 'climate', 'change', 'affects', 'exercise', 'health', 'benefits']","['studies', 'needed', 'climate', 'change', 'affects', 'exercise', 'health', 'benefits']","['studi', 'need', 'climat', 'chang', 'affect', 'exercis', 'health', 'benefit']","['study', 'needed', 'climate', 'change', 'affect', 'exercise', 'health', 'benefit']"
Nature Briefing,AI & robotics briefing: How to beat ‘superhuman’ AI,"A Go-playing algorithm that can beat the world’s best human players can be defeated by adversarial bots. Plus, a protein chatbot that designs ‘biotechnology workhorse’ molecules from scratch and how attention lets mind-reading AI see better.",Katrina Krämer,09-Jul-24,ai  robotics briefing how to beat superhuman ai,"['ai', 'robotics', 'briefing', 'how', 'to', 'beat', 'superhuman', 'ai']","['ai', 'robotics', 'briefing', 'beat', 'superhuman', 'ai']","['ai', 'robot', 'brief', 'beat', 'superhuman', 'ai']","['ai', 'robotics', 'briefing', 'beat', 'superhuman', 'ai']"
Editorial,Vaccines save lives: how can uptake be increased?,Strategies for public engagement need to be rigorously tested around the world to maximize the potential of immunization.,"N, /, A",09-Jul-24,vaccines save lives how can uptake be increased,"['vaccines', 'save', 'lives', 'how', 'can', 'uptake', 'be', 'increased']","['vaccines', 'save', 'lives', 'uptake', 'increased']","['vaccin', 'save', 'live', 'uptak', 'increas']","['vaccine', 'save', 'life', 'uptake', 'increased']"
News,Iran elects heart surgeon as president: scientists are hopeful,"Researchers say unexpected victory for Masoud Pezeshkian could spell improvements to human rights, investment in science and academic freedom — if Iran’s top leaders give him space to act.",Michele Catanzaro,09-Jul-24,iran elects heart surgeon as president scientists are hopeful,"['iran', 'elects', 'heart', 'surgeon', 'as', 'president', 'scientists', 'are', 'hopeful']","['iran', 'elects', 'heart', 'surgeon', 'president', 'scientists', 'hopeful']","['iran', 'elect', 'heart', 'surgeon', 'presid', 'scientist', 'hope']","['iran', 'elect', 'heart', 'surgeon', 'president', 'scientist', 'hopeful']"
News,"If bird flu sparks a human pandemic, your past immunity could help","Older populations might be more protected than younger ones because of exposure to ‘matched’ strains during childhood, but an H5N1 pandemic is likely to take a major toll all the same.",Max Kozlov,09-Jul-24,if bird flu sparks a human pandemic your past immunity could help,"['if', 'bird', 'flu', 'sparks', 'a', 'human', 'pandemic', 'your', 'past', 'immunity', 'could', 'help']","['bird', 'flu', 'sparks', 'human', 'pandemic', 'past', 'immunity', 'could', 'help']","['bird', 'flu', 'spark', 'human', 'pandem', 'past', 'immun', 'could', 'help']","['bird', 'flu', 'spark', 'human', 'pandemic', 'past', 'immunity', 'could', 'help']"
World View,"Canada just hiked PhD and postdoc pay — here’s how to get your country to do it, too","Walkouts, petitions and tweets: how a grass-roots movement led by students, postdocs and tenured academics radically changed government policy on science funding.",Kaitlin  Kharas,09-Jul-24,canada just hiked phd and postdoc pay  here is how to get your country to do it too,"['canada', 'just', 'hiked', 'phd', 'and', 'postdoc', 'pay', 'here', 'is', 'how', 'to', 'get', 'your', 'country', 'to', 'do', 'it', 'too']","['canada', 'hiked', 'phd', 'postdoc', 'pay', 'get', 'country']","['canada', 'hike', 'phd', 'postdoc', 'pay', 'get', 'countri']","['canada', 'hiked', 'phd', 'postdoc', 'pay', 'get', 'country']"
News Feature,How PhD students and other academics are fighting the mental-health crisis in science,Universities and institutions across the globe are exploring unique initiatives to help their students and staff cope with the stress of research.,Shannon Hall,09-Jul-24,how phd students and other academics are fighting the mentalhealth crisis in science,"['how', 'phd', 'students', 'and', 'other', 'academics', 'are', 'fighting', 'the', 'mentalhealth', 'crisis', 'in', 'science']","['phd', 'students', 'academics', 'fighting', 'mentalhealth', 'crisis', 'science']","['phd', 'student', 'academ', 'fight', 'mentalhealth', 'crisi', 'scienc']","['phd', 'student', 'academic', 'fighting', 'mentalhealth', 'crisis', 'science']"
Research Briefing,Chiral perovskites deliver spin control to a conventional semiconductor,The integration of a chiral halide perovskite semiconductor into a light-emitting diode (LED) structure made from a III–V optoelectronic semiconductor creates a spin-LED that achieves 15% circularly polarized emission at room temperature without a magnetic field — a potential boon for spintronics and other spin‑based technologies.,"N, /, A",09-Jul-24,chiral perovskites deliver spin control to a conventional semiconductor,"['chiral', 'perovskites', 'deliver', 'spin', 'control', 'to', 'a', 'conventional', 'semiconductor']","['chiral', 'perovskites', 'deliver', 'spin', 'control', 'conventional', 'semiconductor']","['chiral', 'perovskit', 'deliv', 'spin', 'control', 'convent', 'semiconductor']","['chiral', 'perovskites', 'deliver', 'spin', 'control', 'conventional', 'semiconductor']"
News & Views,Ultracold molecules that interact from afar form elusive quantum state,"A gas of molecules that interact over long distances has been cooled to mere nanokelvins, resulting in the emergence of a state known as a Bose–Einstein condensate — the first of its kind in this type of molecular system.",Lauriane  Chomaz,09-Jul-24,ultracold molecules that interact from afar form elusive quantum state,"['ultracold', 'molecules', 'that', 'interact', 'from', 'afar', 'form', 'elusive', 'quantum', 'state']","['ultracold', 'molecules', 'interact', 'afar', 'form', 'elusive', 'quantum', 'state']","['ultracold', 'molecul', 'interact', 'afar', 'form', 'elus', 'quantum', 'state']","['ultracold', 'molecule', 'interact', 'afar', 'form', 'elusive', 'quantum', 'state']"
News,Huge neutrino detector sees first hints of particles from exploding stars,Japan’s Super-Kamiokande observatory could be seeing evidence of neutrinos from supernovae across cosmic history.,Davide Castelvecchi,09-Jul-24,huge neutrino detector sees first hints of particles from exploding stars,"['huge', 'neutrino', 'detector', 'sees', 'first', 'hints', 'of', 'particles', 'from', 'exploding', 'stars']","['huge', 'neutrino', 'detector', 'sees', 'first', 'hints', 'particles', 'exploding', 'stars']","['huge', 'neutrino', 'detector', 'see', 'first', 'hint', 'particl', 'explod', 'star']","['huge', 'neutrino', 'detector', 'see', 'first', 'hint', 'particle', 'exploding', 'star']"
Nature Briefing,Daily briefing: Zircons rewrite history of plate tectonics,"Unbelievably ancient crystals suggest plate tectonics started earlier than we thought. Plus, the little-known anti-science movement that spawned a thousand conspiracies and why faecal transplants are only a ‘stepping stone’ towards better cancer treatments.",Flora Graham,09-Jul-24,daily briefing zircons rewrite history of plate tectonics,"['daily', 'briefing', 'zircons', 'rewrite', 'history', 'of', 'plate', 'tectonics']","['daily', 'briefing', 'zircons', 'rewrite', 'history', 'plate', 'tectonics']","['daili', 'brief', 'zircon', 'rewrit', 'histori', 'plate', 'tecton']","['daily', 'briefing', 'zircon', 'rewrite', 'history', 'plate', 'tectonics']"
Where I Work,Why I work to revive the Tasmanian tiger,Andrew Pask develops genetic sequencing techniques for marsupials — including an apex predator that was hunted to death in the twentieth century.,Margaret  Simons,08-Jul-24,why i work to revive the tasmanian tiger,"['why', 'i', 'work', 'to', 'revive', 'the', 'tasmanian', 'tiger']","['work', 'revive', 'tasmanian', 'tiger']","['work', 'reviv', 'tasmanian', 'tiger']","['work', 'revive', 'tasmanian', 'tiger']"
Article,Hydrogen sulfide and metal-enriched atmosphere for a Jupiter-mass exoplanet,"The exoplanet HD 189733b has a metal-enriched atmosphere with the possible presence of H2O (13.4σ), CO2(11.2σ), CO (5σ) and H2S (4.5σ).","Guangwei Fu, Luis Welbanks, Matt Nixon",08-Jul-24,hydrogen sulfide and metalenriched atmosphere for a jupitermass exoplanet,"['hydrogen', 'sulfide', 'and', 'metalenriched', 'atmosphere', 'for', 'a', 'jupitermass', 'exoplanet']","['hydrogen', 'sulfide', 'metalenriched', 'atmosphere', 'jupitermass', 'exoplanet']","['hydrogen', 'sulfid', 'metalenrich', 'atmospher', 'jupitermass', 'exoplanet']","['hydrogen', 'sulfide', 'metalenriched', 'atmosphere', 'jupitermass', 'exoplanet']"
Article,Pathogenicity and transmissibility of bovine H5N1 influenza virus,"HPAI H5N1 virus isolated from infected cow milk is characterized in mice and ferrets, was inefficiently transmitted in ferrets, and bound to sialic acids expressed in human upper airways, showing features that may facilitate infection in mammals.","Amie J. Eisfeld, Asim Biswas, Yoshihiro Kawaoka",08-Jul-24,pathogenicity and transmissibility of bovine h5n1 influenza virus,"['pathogenicity', 'and', 'transmissibility', 'of', 'bovine', 'h5n1', 'influenza', 'virus']","['pathogenicity', 'transmissibility', 'bovine', 'h5n1', 'influenza', 'virus']","['pathogen', 'transmiss', 'bovin', 'h5n1', 'influenza', 'viru']","['pathogenicity', 'transmissibility', 'bovine', 'h5n1', 'influenza', 'virus']"
Article,Two-dimensional perovskitoids enhance stability in perovskite solar cells,"We find that 2D–3D perovskitoid passivation applied to perovskite solar cells impedes cation migration and decreases carrier recombination at the interface, providing enhanced operating stability at elevated temperatures and increased power conversion efficiencies.","Cheng Liu, Yi Yang, Mercouri G. Kanatzidis",08-Jul-24,twodimensional perovskitoids enhance stability in perovskite solar cells,"['twodimensional', 'perovskitoids', 'enhance', 'stability', 'in', 'perovskite', 'solar', 'cells']","['twodimensional', 'perovskitoids', 'enhance', 'stability', 'perovskite', 'solar', 'cells']","['twodimension', 'perovskitoid', 'enhanc', 'stabil', 'perovskit', 'solar', 'cell']","['twodimensional', 'perovskitoids', 'enhance', 'stability', 'perovskite', 'solar', 'cell']"
Career Feature,How can I break into industry if my CV keeps disappearing into a black hole?,An application needs to stand out from the crowd and avoid being filtered out by automated hiring systems.Naturespoke to industry experts to get their tips on how to make sure your CV gets seen.,Miles Lizak,08-Jul-24,how can i break into industry if my cv keeps disappearing into a black hole,"['how', 'can', 'i', 'break', 'into', 'industry', 'if', 'my', 'cv', 'keeps', 'disappearing', 'into', 'a', 'black', 'hole']","['break', 'industry', 'cv', 'keeps', 'disappearing', 'black', 'hole']","['break', 'industri', 'cv', 'keep', 'disappear', 'black', 'hole']","['break', 'industry', 'cv', 'keep', 'disappearing', 'black', 'hole']"
News,Scientists relieved by far-right defeat in French election — but they still face uncertainty,"With no party winning an outright majority, the vote’s implications for research are unclear.",Barbara Casassus,08-Jul-24,scientists relieved by farright defeat in french election  but they still face uncertainty,"['scientists', 'relieved', 'by', 'farright', 'defeat', 'in', 'french', 'election', 'but', 'they', 'still', 'face', 'uncertainty']","['scientists', 'relieved', 'farright', 'defeat', 'french', 'election', 'still', 'face', 'uncertainty']","['scientist', 'reliev', 'farright', 'defeat', 'french', 'elect', 'still', 'face', 'uncertainti']","['scientist', 'relieved', 'farright', 'defeat', 'french', 'election', 'still', 'face', 'uncertainty']"
News,Can AI be superhuman? Flaws in top gaming bot cast doubt,"Building robust AI systems that always outperform people might be harder than thought, say researchers who studied Go-playing bots.",Matthew Hutson,08-Jul-24,can ai be superhuman flaws in top gaming bot cast doubt,"['can', 'ai', 'be', 'superhuman', 'flaws', 'in', 'top', 'gaming', 'bot', 'cast', 'doubt']","['ai', 'superhuman', 'flaws', 'top', 'gaming', 'bot', 'cast', 'doubt']","['ai', 'superhuman', 'flaw', 'top', 'game', 'bot', 'cast', 'doubt']","['ai', 'superhuman', 'flaw', 'top', 'gaming', 'bot', 'cast', 'doubt']"
News,ITER delay: what it means for nuclear fusion,"The world’s biggest fusion-energy experiment is likely to be beaten to its goals by other projects — but the massive reactor still has value, say scientists.",Elizabeth Gibney,08-Jul-24,iter delay what it means for nuclear fusion,"['iter', 'delay', 'what', 'it', 'means', 'for', 'nuclear', 'fusion']","['iter', 'delay', 'means', 'nuclear', 'fusion']","['iter', 'delay', 'mean', 'nuclear', 'fusion']","['iter', 'delay', 'mean', 'nuclear', 'fusion']"
